date,home_team,away_team,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_score,away_team_score,country,neutral_location,home_team_result
1998-10-13,Netherlands,Ghana,9,60,0,0,0,0,Netherlands,False,Draw
1998-10-14,Brazil,Ecuador,1,51,0,0,5,1,USA,True,Win
1998-10-14,Switzerland,Denmark,77,18,0,0,1,1,Switzerland,False,Draw
1998-11-06,USA,Australia,17,33,0,0,0,0,USA,False,Draw
1998-11-11,Qatar,Saudi Arabia,56,30,0,0,0,0,Bahrain,True,Draw
1998-11-18,Germany,Netherlands,3,9,0,0,1,1,Germany,False,Draw
1999-01-20,France,Morocco,2,13,0,0,1,0,France,False,Win
1999-01-28,Costa Rica,Ecuador,69,61,0,0,0,0,Costa Rica,False,Draw
1999-02-06,USA,Germany,23,5,0,0,3,0,USA,False,Win
1999-02-10,Croatia,Denmark,3,15,0,0,0,1,Croatia,False,Lose
1999-02-10,England,France,11,2,0,0,0,2,England,False,Lose
1999-02-10,Mexico,Argentina,12,6,0,0,0,1,USA,True,Lose
1999-02-10,Portugal,Netherlands,17,8,0,0,0,0,France,True,Draw
1999-03-13,USA,Mexico,23,12,0,0,1,2,USA,False,Lose
1999-03-27,England,Poland,11,27,0,0,3,1,England,False,Win
1999-03-28,Korea Republic,Brazil,36,1,0,0,1,0,Korea Republic,False,Win
1999-03-31,Japan,Brazil,37,1,0,0,0,2,Japan,False,Lose
1999-03-31,Netherlands,Argentina,8,6,0,0,1,1,Netherlands,False,Draw
1999-03-31,Switzerland,Wales,63,77,0,0,2,0,Switzerland,False,Win
1999-04-14,Mexico,Ecuador,12,55,0,0,0,0,Mexico,False,Draw
1999-04-28,Netherlands,Morocco,9,19,0,0,1,2,Netherlands,False,Lose
1999-05-05,Spain,Croatia,8,6,0,0,3,1,Spain,False,Win
1999-06-02,Ecuador,IR Iran,55,47,0,0,1,1,Canada,True,Draw
1999-06-03,Japan,Belgium,41,27,0,0,0,0,Japan,False,Draw
1999-06-04,Canada,IR Iran,93,47,0,0,0,1,Canada,False,Lose
1999-06-05,Brazil,Netherlands,1,9,0,0,2,2,Brazil,False,Draw
1999-06-05,Korea Republic,Belgium,34,27,0,0,1,2,Korea Republic,False,Lose
1999-06-06,Canada,Ecuador,93,55,0,0,1,2,Canada,False,Lose
1999-06-08,Brazil,Netherlands,1,9,0,0,3,1,Brazil,False,Win
1999-06-09,Mexico,Argentina,13,7,0,0,2,2,USA,True,Draw
1999-06-09,Wales,Denmark,82,18,0,0,0,2,England,True,Lose
1999-06-12,Korea Republic,Mexico,34,13,0,0,1,1,Korea Republic,False,Draw
1999-06-13,USA,Argentina,24,7,0,0,1,0,USA,False,Win
1999-06-16,Brazil,Poland,1,23,0,0,2,0,Thailand,True,Win
1999-06-16,Croatia,Mexico,7,14,0,0,2,1,Korea Republic,True,Win
1999-06-19,Korea Republic,Croatia,38,7,0,0,1,1,Korea Republic,False,Draw
1999-07-01,Argentina,Ecuador,8,49,0,0,3,1,Paraguay,True,Win
1999-07-03,Brazil,Mexico,1,14,0,0,2,1,Paraguay,True,Win
1999-07-04,Uruguay,Ecuador,74,49,0,0,2,1,Paraguay,True,Win
1999-07-07,Uruguay,Argentina,74,8,0,0,0,2,Paraguay,True,Lose
1999-07-09,Canada,Saudi Arabia,95,40,0,0,0,2,USA,True,Lose
1999-07-11,Brazil,Argentina,1,8,0,0,2,1,Paraguay,True,Win
1999-07-14,Mexico,Brazil,14,1,0,0,0,2,Paraguay,True,Lose
1999-07-17,Costa Rica,Saudi Arabia,67,40,0,0,1,0,USA,True,Win
1999-07-18,Brazil,Uruguay,1,74,0,0,3,0,Paraguay,True,Win
1999-07-24,Brazil,Germany,1,5,0,0,4,0,Mexico,True,Win
1999-07-25,Mexico,Saudi Arabia,11,40,0,0,5,1,Mexico,False,Win
1999-07-28,Brazil,USA,1,30,0,0,1,0,Mexico,True,Win
1999-07-30,USA,Germany,30,5,0,0,2,0,Mexico,True,Win
1999-08-01,Brazil,Saudi Arabia,1,40,0,0,8,2,Mexico,True,Win
1999-08-01,Mexico,USA,11,30,0,0,1,0,Mexico,False,Win
1999-08-03,USA,Saudi Arabia,30,40,0,0,2,0,Mexico,True,Win
1999-08-04,Mexico,Brazil,11,1,0,0,4,3,Mexico,False,Win
1999-08-18,Denmark,Netherlands,17,13,0,0,0,0,Denmark,False,Draw
1999-08-18,Poland,Spain,27,7,0,0,1,2,Poland,False,Lose
1999-08-18,Uruguay,Costa Rica,43,68,0,0,5,4,Uruguay,False,Win
1999-09-04,Argentina,Brazil,6,1,0,0,2,0,Argentina,False,Win
1999-09-04,Denmark,Switzerland,17,54,0,0,2,1,Denmark,False,Win
1999-09-04,Netherlands,Belgium,13,33,0,0,5,5,Netherlands,False,Draw
1999-09-07,Belgium,Morocco,33,19,0,0,4,0,Belgium,False,Win
1999-09-07,Brazil,Argentina,1,6,0,0,4,2,Brazil,False,Win
1999-09-08,Japan,IR Iran,46,51,0,0,1,1,Japan,False,Draw
1999-09-08,Poland,England,27,14,0,0,0,0,Poland,False,Draw
1999-10-09,Netherlands,Brazil,14,1,0,0,2,2,Netherlands,False,Draw
1999-10-09,Wales,Switzerland,78,53,0,0,0,2,Wales,False,Lose
1999-10-10,Denmark,IR Iran,16,50,0,0,0,0,Denmark,False,Draw
1999-10-10,England,Belgium,12,32,0,0,2,1,England,False,Win
1999-10-12,Uruguay,Ecuador,41,60,0,0,0,0,Uruguay,False,Draw
1999-10-27,Mexico,Ecuador,11,61,0,0,0,0,USA,True,Draw
1999-11-13,France,Croatia,3,6,0,0,3,0,France,False,Win
1999-11-13,Spain,Brazil,4,1,0,0,0,0,Spain,False,Draw
1999-11-17,Morocco,USA,24,21,0,0,2,1,Morocco,False,Win
1999-11-17,Spain,Argentina,4,7,0,0,0,2,Spain,False,Lose
1999-12-21,Morocco,Senegal,24,83,0,0,0,0,Morocco,False,Draw
1999-12-22,Tunisia,Ghana,31,48,0,0,2,0,Tunisia,False,Win
2000-01-09,Mexico,IR Iran,10,49,0,0,2,1,USA,True,Win
2000-01-13,Senegal,Cameroon,79,58,0,0,0,0,Senegal,False,Draw
2000-01-16,USA,IR Iran,22,49,0,0,1,1,USA,False,Draw
2000-01-18,Ghana,Tunisia,48,31,0,0,2,0,Ghana,False,Win
2000-01-22,Ghana,Cameroon,50,57,0,0,1,1,Ghana,False,Draw
2000-01-26,Spain,Poland,4,32,0,0,3,0,Spain,False,Win
2000-01-29,Tunisia,Morocco,28,25,0,0,0,0,Nigeria,True,Draw
2000-02-05,Japan,Mexico,58,10,0,0,0,1,Hong Kong,True,Lose
2000-02-10,Cameroon,Tunisia,57,28,0,0,3,0,Ghana,True,Win
2000-02-13,Costa Rica,Canada,64,80,0,0,2,2,USA,True,Draw
2000-02-15,Canada,Korea Republic,80,52,0,0,0,0,USA,True,Draw
2000-02-17,Korea Republic,Costa Rica,48,63,0,0,2,2,USA,True,Draw
2000-02-20,Mexico,Canada,10,85,0,0,1,2,USA,True,Lose
2000-02-23,Belgium,Portugal,33,15,0,0,1,1,Belgium,False,Draw
2000-02-23,Croatia,Spain,9,4,0,0,0,0,Croatia,False,Draw
2000-02-23,England,Argentina,11,6,0,0,0,0,England,False,Draw
2000-02-23,France,Poland,3,32,0,0,1,0,France,False,Win
2000-02-23,Netherlands,Germany,19,5,0,0,2,1,Netherlands,False,Win
2000-02-23,Qatar,Wales,106,99,0,0,0,1,Qatar,False,Lose
2000-03-12,USA,Tunisia,22,27,0,0,1,1,USA,False,Draw
2000-03-29,Belgium,Netherlands,33,19,0,0,2,2,Belgium,False,Draw
2000-03-29,Croatia,Germany,9,5,0,0,1,1,Croatia,False,Draw
2000-03-29,Portugal,Denmark,15,12,0,0,2,1,Portugal,False,Win
2000-04-26,Brazil,Ecuador,1,71,0,0,3,2,Brazil,False,Win
2000-04-26,Germany,Switzerland,5,55,0,0,1,1,Germany,False,Draw
2000-04-26,Korea Republic,Japan,43,50,0,0,1,0,Korea Republic,False,Win
2000-05-23,Wales,Brazil,101,1,0,0,0,3,Wales,False,Lose
2000-05-27,England,Brazil,12,1,0,0,1,1,England,False,Draw
2000-05-28,Croatia,France,7,3,0,0,0,2,Croatia,False,Lose
2000-06-02,Portugal,Wales,15,101,0,0,3,0,Portugal,False,Win
2000-06-03,Denmark,Belgium,13,30,0,0,2,2,Denmark,False,Draw
2000-06-04,France,Japan,3,56,0,0,2,2,Morocco,True,Draw
2000-06-04,Netherlands,Poland,21,35,0,0,3,1,Switzerland,True,Win
2000-06-06,Morocco,France,25,3,0,0,1,5,Morocco,False,Lose
2000-06-11,France,Denmark,2,13,0,0,3,0,Belgium,True,Win
2000-06-11,Tunisia,Senegal,27,79,0,0,4,1,Tunisia,False,Win
2000-06-11,USA,Mexico,19,8,0,0,3,0,USA,False,Win
2000-06-12,Portugal,England,15,12,0,0,3,2,Netherlands,True,Win
2000-06-16,Netherlands,Denmark,21,13,0,0,3,0,Netherlands,False,Win
2000-06-17,England,Germany,12,6,0,0,1,0,Belgium,True,Win
2000-06-20,Portugal,Germany,15,6,0,0,3,0,Netherlands,True,Win
2000-06-21,Netherlands,France,21,2,0,0,3,2,Netherlands,False,Win
2000-06-25,Spain,France,4,2,0,0,1,2,Belgium,True,Lose
2000-06-28,Brazil,Uruguay,1,43,0,0,1,1,Brazil,False,Draw
2000-06-28,France,Portugal,2,15,0,0,2,1,Belgium,True,Win
2000-07-19,Argentina,Ecuador,5,66,0,0,2,0,Argentina,False,Win
2000-07-23,Costa Rica,USA,69,20,0,0,2,1,Costa Rica,False,Win
2000-07-26,Brazil,Argentina,1,5,0,0,3,1,Brazil,False,Win
2000-08-15,Mexico,Canada,14,56,0,0,2,0,Mexico,False,Win
2000-08-16,Germany,Spain,11,5,0,0,4,1,Germany,False,Win
2000-09-02,Belgium,Croatia,28,15,0,0,0,0,Belgium,False,Draw
2000-09-02,France,England,2,13,0,0,1,1,France,False,Draw
2000-09-03,Uruguay,Ecuador,36,65,0,0,4,0,Uruguay,False,Win
2000-09-20,Mexico,Ecuador,13,60,0,0,2,0,USA,True,Win
2000-09-27,Qatar,IR Iran,92,44,0,0,1,2,Qatar,False,Lose
2000-10-04,France,Cameroon,2,34,0,0,1,1,France,False,Draw
2000-10-07,Australia,Korea Republic,67,43,0,0,2,4,United Arab Emirates,True,Lose
2000-10-07,England,Germany,14,9,0,0,0,1,England,False,Lose
2000-10-08,Argentina,Uruguay,3,32,0,0,2,1,Argentina,False,Win
2000-10-11,Netherlands,Portugal,9,7,0,0,0,2,Netherlands,False,Lose
2000-10-11,Poland,Wales,36,109,0,0,0,0,Poland,False,Draw
2000-10-11,USA,Costa Rica,18,54,0,0,0,0,USA,False,Draw
2000-10-14,Saudi Arabia,Japan,47,49,0,0,1,4,Lebanon,True,Lose
2000-10-17,Saudi Arabia,Qatar,47,96,0,0,0,0,Lebanon,True,Draw
2000-10-20,Japan,Qatar,49,96,0,0,1,1,Lebanon,True,Draw
2000-10-23,IR Iran,Korea Republic,43,44,0,0,1,2,Lebanon,True,Lose
2000-10-25,USA,Mexico,18,11,0,0,2,0,USA,False,Win
2000-10-26,Korea Republic,Saudi Arabia,44,47,0,0,1,2,Lebanon,True,Lose
2000-10-29,Japan,Saudi Arabia,49,47,0,0,1,0,Lebanon,True,Win
2000-11-15,Canada,Mexico,63,11,0,0,0,0,Canada,False,Draw
2000-11-15,Denmark,Germany,24,8,0,0,2,1,Denmark,False,Win
2000-11-15,Spain,Netherlands,6,10,0,0,1,2,Spain,False,Lose
2000-11-15,Tunisia,Switzerland,25,59,0,0,1,1,Tunisia,False,Draw
2000-12-20,Japan,Korea Republic,38,40,0,0,1,1,Japan,False,Draw
2000-12-20,Mexico,Argentina,12,3,0,0,0,2,USA,True,Lose
2001-01-13,Tunisia,Morocco,26,28,0,0,0,1,Tunisia,False,Lose
2001-02-08,Morocco,Korea Republic,28,42,0,0,1,1,United Arab Emirates,True,Draw
2001-02-24,Morocco,Senegal,28,89,0,0,0,0,Morocco,False,Draw
2001-02-27,France,Germany,2,11,0,0,1,0,France,False,Win
2001-02-28,England,Spain,17,7,0,0,3,0,England,False,Win
2001-02-28,Switzerland,Poland,59,38,0,0,0,4,Cyprus,True,Lose
2001-02-28,USA,Mexico,16,12,0,0,2,0,USA,False,Win
2001-03-03,USA,Brazil,16,1,0,0,1,2,USA,False,Lose
2001-03-07,Mexico,Brazil,12,1,0,0,3,3,Mexico,False,Draw
2001-03-24,France,Japan,2,42,0,0,5,0,France,False,Win
2001-03-24,Morocco,Tunisia,30,27,0,0,2,0,Morocco,False,Win
2001-03-28,Ecuador,Brazil,53,1,0,0,1,0,Ecuador,False,Win
2001-03-28,Portugal,Netherlands,4,9,0,0,2,2,Portugal,False,Draw
2001-03-28,Spain,France,7,2,0,0,2,1,Spain,False,Win
2001-04-24,IR Iran,Korea Republic,40,41,0,0,0,1,Egypt,True,Lose
2001-04-25,France,Portugal,2,5,0,0,4,0,France,False,Win
2001-04-25,Spain,Japan,7,42,0,0,1,0,Spain,False,Win
2001-04-25,USA,Costa Rica,18,52,0,0,1,0,USA,False,Win
2001-04-26,Canada,IR Iran,65,40,0,0,1,0,Egypt,True,Win
2001-05-25,England,Mexico,14,13,0,0,4,0,England,False,Win
2001-05-25,Korea Republic,Cameroon,39,37,0,0,0,0,Korea Republic,False,Draw
2001-05-30,Korea Republic,France,39,1,0,0,0,5,Korea Republic,False,Lose
2001-05-30,Mexico,Australia,13,68,0,0,0,2,Korea Republic,True,Lose
2001-05-31,Brazil,Cameroon,2,37,0,0,2,0,Japan,True,Win
2001-05-31,Japan,Canada,44,71,0,0,3,0,Japan,False,Win
2001-06-01,Australia,France,68,1,0,0,1,0,Korea Republic,True,Win
2001-06-01,Korea Republic,Mexico,39,13,0,0,2,1,Korea Republic,False,Win
2001-06-02,Canada,Brazil,71,2,0,0,0,0,Japan,True,Draw
2001-06-02,Japan,Cameroon,44,37,0,0,2,0,Japan,False,Win
2001-06-02,Wales,Poland,110,23,0,0,1,2,Wales,False,Lose
2001-06-03,France,Mexico,1,13,0,0,4,0,Korea Republic,True,Win
2001-06-03,Korea Republic,Australia,39,68,0,0,1,0,Korea Republic,False,Win
2001-06-04,Cameroon,Canada,37,71,0,0,2,0,Japan,True,Win
2001-06-04,Japan,Brazil,44,2,0,0,0,0,Japan,False,Draw
2001-06-07,France,Brazil,1,2,0,0,2,1,Korea Republic,True,Win
2001-06-07,Japan,Australia,44,68,0,0,1,0,Japan,False,Win
2001-06-07,USA,Ecuador,15,45,0,0,0,0,USA,False,Draw
2001-06-09,Australia,Brazil,68,2,0,0,1,0,Korea Republic,True,Win
2001-06-10,Japan,France,44,1,0,0,0,1,Japan,False,Lose
2001-06-16,Mexico,Costa Rica,13,54,0,0,1,2,Mexico,False,Lose
2001-07-01,Mexico,USA,15,17,0,0,1,0,Mexico,False,Win
2001-07-01,Uruguay,Brazil,40,2,0,0,1,0,Uruguay,False,Win
2001-07-12,Brazil,Mexico,2,15,0,0,0,1,Colombia,True,Lose
2001-07-14,Senegal,Morocco,80,28,0,0,1,0,Senegal,False,Win
2001-07-16,Uruguay,Costa Rica,40,47,0,0,1,1,Colombia,True,Draw
2001-07-22,Uruguay,Costa Rica,30,33,0,0,2,1,Colombia,True,Win
2001-07-25,Mexico,Uruguay,13,30,0,0,2,1,Colombia,True,Win
2001-08-01,Qatar,IR Iran,90,51,0,0,2,1,Qatar,False,Win
2001-08-05,Saudi Arabia,Qatar,29,90,0,0,1,2,Saudi Arabia,False,Lose
2001-08-15,Ecuador,Argentina,50,3,0,0,0,2,Ecuador,False,Lose
2001-08-15,England,Netherlands,15,10,0,0,0,2,England,False,Lose
2001-08-15,France,Denmark,1,17,0,0,1,0,France,False,Win
2001-08-15,Japan,Australia,32,46,0,0,3,0,Japan,False,Win
2001-08-24,IR Iran,Saudi Arabia,46,36,0,0,2,0,IR Iran,False,Win
2001-09-01,Germany,England,5,15,0,0,1,5,Germany,False,Lose
2001-09-05,Argentina,Brazil,3,2,0,0,2,1,Argentina,False,Win
2001-09-05,Costa Rica,USA,31,16,0,0,2,0,Costa Rica,False,Win
2001-09-28,Saudi Arabia,IR Iran,35,38,0,0,2,2,Saudi Arabia,False,Draw
2001-10-04,Japan,Senegal,28,69,0,0,0,2,France,True,Lose
2001-10-06,Croatia,Belgium,16,26,0,0,1,0,Croatia,False,Win
2001-10-07,Costa Rica,Mexico,29,10,0,0,0,0,Costa Rica,False,Draw
2001-11-07,Ecuador,Uruguay,39,23,0,0,1,1,Ecuador,False,Draw
2001-11-08,Korea Republic,Senegal,43,65,0,0,0,1,Korea Republic,False,Lose
2001-11-10,Denmark,Netherlands,17,7,0,0,1,1,Denmark,False,Draw
2001-11-10,Korea Republic,Croatia,43,16,0,0,2,0,Korea Republic,False,Win
2001-11-11,Australia,France,48,1,0,0,1,1,Australia,False,Draw
2001-11-13,Korea Republic,Croatia,43,16,0,0,1,1,Korea Republic,False,Draw
2001-11-14,Poland,Cameroon,28,38,0,0,0,0,Poland,False,Draw
2001-11-14,Spain,Mexico,6,11,0,0,1,0,Spain,False,Win
2001-11-14,Uruguay,Argentina,23,3,0,0,1,1,Uruguay,False,Draw
2001-11-20,Australia,Uruguay,48,23,0,0,1,0,Australia,False,Win
2001-11-25,Uruguay,Australia,24,50,0,0,3,0,Uruguay,False,Win
2001-12-09,Korea Republic,USA,43,21,0,0,1,0,Korea Republic,False,Win
2002-01-11,Tunisia,Cameroon,28,38,0,0,0,1,Tunisia,False,Lose
2002-01-19,USA,Korea Republic,24,42,0,0,2,1,USA,False,Win
2002-01-21,Morocco,Ghana,36,61,0,0,0,0,Mali,True,Draw
2002-01-22,Canada,Ecuador,93,38,0,0,0,2,USA,True,Lose
2002-01-27,Mexico,Korea Republic,9,42,0,0,0,0,USA,True,Draw
2002-01-30,Costa Rica,Korea Republic,30,42,0,0,3,1,USA,True,Win
2002-01-30,USA,Canada,24,93,0,0,0,0,USA,False,Draw
2002-01-30,Saudi Arabia,Qatar,32,80,0,0,3,1,Saudi Arabia,False,Win
2002-01-31,Senegal,Tunisia,68,28,0,0,0,0,Mali,True,Draw
2002-02-02,Canada,Korea Republic,93,42,0,0,2,1,USA,True,Win
2002-02-02,USA,Costa Rica,24,30,0,0,2,0,USA,False,Win
2002-02-06,Saudi Arabia,Brazil,32,3,0,0,0,1,Saudi Arabia,False,Lose
2002-02-10,Senegal,Cameroon,68,37,0,0,0,0,Mali,True,Draw
2002-02-13,Netherlands,England,8,10,0,0,1,1,Netherlands,False,Draw
2002-02-13,Saudi Arabia,Denmark,34,20,0,0,0,1,Saudi Arabia,False,Lose
2002-02-13,Spain,Portugal,7,4,0,0,1,1,Spain,False,Draw
2002-02-13,Uruguay,Korea Republic,24,41,0,0,2,1,Uruguay,False,Win
2002-02-13,Wales,Argentina,101,2,0,0,1,1,Wales,False,Draw
2002-03-10,USA,Ecuador,13,37,0,0,1,0,USA,False,Win
2002-03-13,Tunisia,Korea Republic,29,41,0,0,0,0,Tunisia,False,Draw
2002-03-27,Argentina,Cameroon,2,19,0,0,2,2,Switzerland,True,Draw
2002-03-27,Germany,USA,10,13,0,0,4,2,Germany,False,Win
2002-03-27,Netherlands,Spain,9,7,0,0,1,0,Netherlands,False,Win
2002-03-27,Poland,Japan,33,38,0,0,0,2,Poland,False,Lose
2002-03-27,Saudi Arabia,Uruguay,35,22,0,0,3,2,Saudi Arabia,False,Win
2002-04-17,Germany,Argentina,12,3,0,0,0,1,Germany,False,Lose
2002-04-17,Japan,Costa Rica,33,27,0,0,1,1,Japan,False,Draw
2002-04-17,Portugal,Brazil,5,2,0,0,1,1,Portugal,False,Draw
2002-04-21,Korea Republic,Costa Rica,41,27,0,0,2,0,Korea Republic,False,Win
2002-05-12,USA,Uruguay,13,21,0,0,2,1,USA,False,Win
2002-05-14,Saudi Arabia,Senegal,34,43,0,0,3,2,Saudi Arabia,False,Win
2002-05-14,Wales,Germany,97,12,0,0,1,0,Wales,False,Win
2002-05-15,Switzerland,Canada,64,75,0,0,1,3,Switzerland,False,Lose
2002-05-17,Denmark,Cameroon,20,17,0,0,2,1,Denmark,False,Win
2002-05-18,France,Belgium,1,23,0,0,1,2,France,False,Lose
2002-05-19,USA,Netherlands,13,9,0,0,0,2,USA,False,Lose
2002-05-21,Korea Republic,England,40,12,0,0,1,1,Korea Republic,False,Draw
2002-05-23,Ecuador,Senegal,36,42,0,0,0,1,Japan,True,Lose
2002-05-26,Belgium,Costa Rica,23,29,0,0,1,0,Japan,True,Win
2002-05-26,Cameroon,England,17,12,0,0,2,2,Japan,True,Draw
2002-05-26,Denmark,Tunisia,20,31,0,0,2,1,Japan,True,Win
2002-05-26,Korea Republic,France,40,1,0,0,2,3,Korea Republic,False,Lose
2002-05-31,France,Senegal,1,42,0,0,0,1,Korea Republic,True,Lose
2002-06-01,Germany,Saudi Arabia,11,34,0,0,8,0,Japan,True,Win
2002-06-01,Uruguay,Denmark,24,20,0,0,1,2,Korea Republic,True,Lose
2002-06-03,Croatia,Mexico,21,7,0,0,0,1,Japan,True,Lose
2002-06-04,Japan,Belgium,32,23,0,0,2,2,Japan,False,Draw
2002-06-04,Korea Republic,Poland,40,38,0,0,2,0,Korea Republic,False,Win
2002-06-05,USA,Portugal,13,5,0,0,3,2,Korea Republic,True,Win
2002-06-06,Cameroon,Saudi Arabia,17,34,0,0,1,0,Japan,True,Win
2002-06-06,Denmark,Senegal,20,42,0,0,1,1,Korea Republic,True,Draw
2002-06-06,France,Uruguay,1,24,0,0,0,0,Korea Republic,True,Draw
2002-06-07,Argentina,England,3,12,0,0,0,1,Japan,True,Lose
2002-06-09,Mexico,Ecuador,7,36,0,0,2,1,Japan,True,Win
2002-06-10,Korea Republic,USA,40,13,0,0,1,1,Korea Republic,False,Draw
2002-06-10,Portugal,Poland,5,38,0,0,4,0,Korea Republic,True,Win
2002-06-10,Tunisia,Belgium,31,23,0,0,1,1,Japan,True,Draw
2002-06-11,Cameroon,Germany,17,11,0,0,0,2,Japan,True,Lose
2002-06-11,Denmark,France,20,1,0,0,2,0,Korea Republic,True,Win
2002-06-11,Senegal,Uruguay,42,24,0,0,3,3,Korea Republic,True,Draw
2002-06-13,Costa Rica,Brazil,29,2,0,0,2,5,Korea Republic,True,Lose
2002-06-13,Ecuador,Croatia,36,21,0,0,1,0,Japan,True,Win
2002-06-14,Japan,Tunisia,32,31,0,0,2,0,Japan,False,Win
2002-06-14,Korea Republic,Portugal,40,5,0,0,1,0,Korea Republic,False,Win
2002-06-14,Poland,USA,38,13,0,0,3,1,Korea Republic,True,Win
2002-06-15,Denmark,England,20,12,0,0,0,3,Japan,True,Lose
2002-06-17,Brazil,Belgium,2,23,0,0,2,0,Japan,True,Win
2002-06-17,Mexico,USA,7,13,0,0,0,2,Korea Republic,True,Lose
2002-06-21,England,Brazil,12,2,0,0,1,2,Japan,True,Lose
2002-06-21,Germany,USA,11,13,0,0,1,0,Korea Republic,True,Win
2002-06-22,Korea Republic,Spain,40,8,0,0,0,0,Korea Republic,False,Draw
2002-06-25,Korea Republic,Germany,40,11,0,0,0,1,Korea Republic,False,Lose
2002-06-30,Germany,Brazil,11,2,0,0,0,2,Japan,True,Lose
2002-08-21,Croatia,Wales,26,89,0,0,1,1,Croatia,False,Draw
2002-08-21,Poland,Belgium,37,18,0,0,1,1,Poland,False,Draw
2002-08-21,Tunisia,France,39,4,0,0,1,1,Tunisia,False,Draw
2002-09-07,England,Portugal,7,8,0,0,1,1,England,False,Draw
2002-09-17,IR Iran,Morocco,33,41,0,0,1,1,IR Iran,False,Draw
2002-10-12,Portugal,Tunisia,11,39,0,0,1,1,Portugal,False,Draw
2002-10-16,Costa Rica,Ecuador,25,31,0,0,1,1,Costa Rica,False,Draw
2002-11-20,Denmark,Poland,13,33,0,0,2,0,Denmark,False,Win
2002-11-20,Ecuador,Costa Rica,32,26,0,0,2,2,Ecuador,False,Draw
2002-11-20,Germany,Netherlands,4,10,0,0,1,3,Germany,False,Lose
2002-11-20,Japan,Argentina,22,5,0,0,0,2,Japan,False,Lose
2002-11-20,Korea Republic,Brazil,20,1,0,0,2,3,Korea Republic,False,Lose
2003-01-18,USA,Canada,10,70,0,0,4,0,USA,False,Win
2003-02-04,Mexico,Argentina,9,5,0,0,0,1,USA,True,Lose
2003-02-04,Uruguay,IR Iran,28,34,0,0,1,1,Hong Kong,True,Draw
2003-02-08,USA,Argentina,10,5,0,0,0,1,USA,False,Lose
2003-02-12,Croatia,Poland,32,33,0,0,0,0,Croatia,False,Draw
2003-02-12,England,Australia,8,50,0,0,1,3,England,False,Lose
2003-02-12,Morocco,Senegal,35,27,0,0,1,0,France,True,Win
2003-02-12,Netherlands,Argentina,6,5,0,0,1,0,Netherlands,False,Win
2003-02-12,Spain,Germany,3,4,0,0,3,1,Spain,False,Win
2003-03-27,Tunisia,Ghana,44,61,0,0,2,2,Tunisia,False,Draw
2003-03-28,Japan,Uruguay,25,27,0,0,2,2,Japan,False,Draw
2003-03-29,Croatia,Belgium,34,16,0,0,4,0,Croatia,False,Win
2003-03-29,Portugal,Brazil,12,1,0,0,2,1,Portugal,False,Win
2003-03-30,Tunisia,Cameroon,44,17,0,0,1,0,Tunisia,False,Win
2003-04-16,Korea Republic,Japan,19,25,0,0,0,1,Korea Republic,False,Lose
2003-04-30,Belgium,Poland,16,28,0,0,3,1,Belgium,False,Win
2003-04-30,Mexico,Brazil,9,1,0,0,0,0,Mexico,False,Draw
2003-04-30,Netherlands,Portugal,5,12,0,0,1,1,Netherlands,False,Draw
2003-04-30,Spain,Ecuador,2,33,0,0,4,0,Spain,False,Win
2003-04-30,Tunisia,Senegal,41,30,0,0,1,0,Tunisia,False,Win
2003-05-08,USA,Mexico,10,9,0,0,0,0,USA,False,Draw
2003-05-26,USA,Wales,10,50,0,0,2,0,USA,False,Win
2003-05-31,Japan,Korea Republic,23,21,0,0,0,1,Japan,False,Lose
2003-06-01,Germany,Canada,4,77,0,0,4,1,Germany,False,Win
2003-06-08,Japan,Argentina,23,5,0,0,1,4,Japan,False,Lose
2003-06-08,Korea Republic,Uruguay,21,28,0,0,0,2,Korea Republic,False,Lose
2003-06-11,Korea Republic,Argentina,21,5,0,0,0,1,Korea Republic,False,Lose
2003-06-19,Brazil,Cameroon,1,18,0,0,0,1,France,True,Lose
2003-06-20,France,Japan,2,23,0,0,2,1,France,False,Win
2003-06-21,Brazil,USA,1,10,0,0,1,0,France,True,Win
2003-06-23,USA,Cameroon,10,18,0,0,0,0,France,True,Draw
2003-06-29,France,Cameroon,2,16,0,0,1,0,France,False,Win
2003-07-12,Costa Rica,Canada,18,78,0,0,0,1,USA,True,Lose
2003-07-13,Mexico,Brazil,11,1,0,0,1,0,Mexico,False,Win
2003-07-16,Argentina,Uruguay,4,31,0,0,2,2,Argentina,False,Draw
2003-07-23,USA,Brazil,9,1,0,0,1,2,USA,False,Lose
2003-07-24,Mexico,Costa Rica,11,18,0,0,2,0,Mexico,False,Win
2003-07-26,USA,Costa Rica,9,18,0,0,3,2,USA,False,Win
2003-07-27,Mexico,Brazil,11,1,0,0,1,0,Mexico,False,Win
2003-08-20,Argentina,Uruguay,6,26,0,0,3,2,Italy,True,Win
2003-08-20,Belgium,Netherlands,18,4,0,0,1,1,Belgium,False,Draw
2003-08-20,England,Croatia,10,25,0,0,3,1,England,False,Win
2003-08-20,Switzerland,France,40,2,0,0,0,2,Switzerland,False,Lose
2003-09-06,Portugal,Spain,16,3,0,0,0,3,Portugal,False,Lose
2003-09-10,Belgium,Croatia,18,26,0,0,2,1,Belgium,False,Win
2003-09-10,Brazil,Ecuador,1,37,0,0,1,0,Brazil,False,Win
